Step, Velocity, Density
131, 0.9166666666666666, 0.12233009708737864
132, 0.9169960474308301, 0.12281553398058252
133, 0.8980392156862745, 0.12378640776699029
134, 0.9448818897637795, 0.12330097087378641
135, 0.9173228346456693, 0.12330097087378641
136, 0.8988326848249028, 0.12475728155339806
137, 0.9224806201550387, 0.12524271844660195
138, 0.9230769230769231, 0.1262135922330097
139, 0.9003831417624522, 0.12669902912621359
140, 0.89453125, 0.12427184466019417
141, 0.8949416342412452, 0.12475728155339806
142, 0.94140625, 0.12427184466019417
143, 0.9302325581395349, 0.12524271844660195
144, 0.9108527131782945, 0.12524271844660195
145, 0.914396887159533, 0.12475728155339806
146, 0.9105058365758755, 0.12475728155339806
147, 0.90234375, 0.12427184466019417
148, 0.8996138996138996, 0.12572815533980583
